Subtype	SpliceSite	Metric	P_value	File
LumA	ENST00000664214:1	DSS	0.6187	salmon/DSS/LumA/0_5/DSS_ENST00000664214:1_SalmonTPM_KaplanMeier.pdf
Her2	ENST00000665737:1	PFI	0.6264	salmon/PFI/Her2/0_5/PFI_ENST00000665737:1_SalmonTPM_KaplanMeier.pdf
Her2	ENST00000666147:1	DSS	0.6279	salmon/DSS/Her2/0_5/DSS_ENST00000666147:1_SalmonTPM_KaplanMeier.pdf
LumA	ENST00000520913:2	OS	0.6288	salmon/OS/LumA/0_5/OS_ENST00000520913:2_SalmonTPM_KaplanMeier.pdf
LumA	ENST00000671092:1	DFI	0.6354	salmon/DFI/LumA/0_5/DFI_ENST00000671092:1_SalmonTPM_KaplanMeier.pdf
LumA	ENST00000665737:1	DSS	0.6404	salmon/DSS/LumA/0_5/DSS_ENST00000665737:1_SalmonTPM_KaplanMeier.pdf
LumB	ENST00000667714:1	PFI	0.6411	salmon/PFI/LumB/0_5/PFI_ENST00000667714:1_SalmonTPM_KaplanMeier.pdf
LumB	ENST00000666147:1	DSS	0.6525	salmon/DSS/LumB/0_5/DSS_ENST00000666147:1_SalmonTPM_KaplanMeier.pdf
LumB	ENST00000665737:1	PFI	0.6546	salmon/PFI/LumB/0_5/PFI_ENST00000665737:1_SalmonTPM_KaplanMeier.pdf
LumA	ENST00000657289:1	PFI	0.6566	salmon/PFI/LumA/0_5/PFI_ENST00000657289:1_SalmonTPM_KaplanMeier.pdf
LumB	ENST00000667305:1	OS	0.6589	salmon/OS/LumB/0_5/OS_ENST00000667305:1_SalmonTPM_KaplanMeier.pdf
Her2	ENST00000665737:1	DFI	0.6679	salmon/DFI/Her2/0_5/DFI_ENST00000665737:1_SalmonTPM_KaplanMeier.pdf
LumA	ENST00000668098:1	DSS	0.6688	salmon/DSS/LumA/0_5/DSS_ENST00000668098:1_SalmonTPM_KaplanMeier.pdf
Her2	ENST00000668098:1	DSS	0.6701	salmon/DSS/Her2/0_5/DSS_ENST00000668098:1_SalmonTPM_KaplanMeier.pdf
LumA	ENST00000664214:1	DFI	0.6754	salmon/DFI/LumA/0_5/DFI_ENST00000664214:1_SalmonTPM_KaplanMeier.pdf
Basal	ENST00000658840:1	OS	0.6767	salmon/OS/Basal/0_5/OS_ENST00000658840:1_SalmonTPM_KaplanMeier.pdf
Basal	ENST00000517838:6	OS	0.6841	salmon/OS/Basal/0_5/OS_ENST00000517838:6_SalmonTPM_KaplanMeier.pdf
LumA	ENST00000658840:1	DSS	0.6847	salmon/DSS/LumA/0_5/DSS_ENST00000658840:1_SalmonTPM_KaplanMeier.pdf
LumA	ENST00000662766:1	DFI	0.6859	salmon/DFI/LumA/0_5/DFI_ENST00000662766:1_SalmonTPM_KaplanMeier.pdf
Basal	ENST00000692980:1	DFI	0.6927	salmon/DFI/Basal/0_5/DFI_ENST00000692980:1_SalmonTPM_KaplanMeier.pdf
LumB	ENST00000520913:2	OS	0.6954	salmon/OS/LumB/0_5/OS_ENST00000520913:2_SalmonTPM_KaplanMeier.pdf
LumB	ENST00000667714:1	DFI	0.7046	salmon/DFI/LumB/0_5/DFI_ENST00000667714:1_SalmonTPM_KaplanMeier.pdf
Basal	ENST00000690350:1	OS	0.7066	salmon/OS/Basal/0_5/OS_ENST00000690350:1_SalmonTPM_KaplanMeier.pdf
Basal	ENST00000520913:2	DSS	0.7095	salmon/DSS/Basal/0_5/DSS_ENST00000520913:2_SalmonTPM_KaplanMeier.pdf
Her2	ENST00000662766:1	DSS	0.7175	salmon/DSS/Her2/0_5/DSS_ENST00000662766:1_SalmonTPM_KaplanMeier.pdf
LumB	ENST00000520913:2	PFI	0.7183	salmon/PFI/LumB/0_5/PFI_ENST00000520913:2_SalmonTPM_KaplanMeier.pdf
Basal	ENST00000671092:1	PFI	0.7226	salmon/PFI/Basal/0_5/PFI_ENST00000671092:1_SalmonTPM_KaplanMeier.pdf
LumB	ENST00000520913:2	DFI	0.7235	salmon/DFI/LumB/0_5/DFI_ENST00000520913:2_SalmonTPM_KaplanMeier.pdf
Basal	ENST00000665737:1	OS	0.7236	salmon/OS/Basal/0_5/OS_ENST00000665737:1_SalmonTPM_KaplanMeier.pdf
Basal	ENST00000665737:1	DSS	0.7283	salmon/DSS/Basal/0_5/DSS_ENST00000665737:1_SalmonTPM_KaplanMeier.pdf
Basal	ENST00000667630:1	PFI	0.7289	salmon/PFI/Basal/0_5/PFI_ENST00000667630:1_SalmonTPM_KaplanMeier.pdf
LumA	ENST00000520913:2	PFI	0.7344	salmon/PFI/LumA/0_5/PFI_ENST00000520913:2_SalmonTPM_KaplanMeier.pdf
Her2	ENST00000667305:1	OS	0.7417	salmon/OS/Her2/0_5/OS_ENST00000667305:1_SalmonTPM_KaplanMeier.pdf
Basal	ENST00000656999:1	DFI	0.7446	salmon/DFI/Basal/0_5/DFI_ENST00000656999:1_SalmonTPM_KaplanMeier.pdf
Her2	ENST00000520913:2	DFI	0.7517	salmon/DFI/Her2/0_5/DFI_ENST00000520913:2_SalmonTPM_KaplanMeier.pdf
LumA	ENST00000658840:1	PFI	0.7543	salmon/PFI/LumA/0_5/PFI_ENST00000658840:1_SalmonTPM_KaplanMeier.pdf
LumB	ENST00000692980:1	OS	0.7608	salmon/OS/LumB/0_5/OS_ENST00000692980:1_SalmonTPM_KaplanMeier.pdf
Her2	ENST00000520913:2	OS	0.7632	salmon/OS/Her2/0_5/OS_ENST00000520913:2_SalmonTPM_KaplanMeier.pdf
Basal	ENST00000668098:1	OS	0.7638	salmon/OS/Basal/0_5/OS_ENST00000668098:1_SalmonTPM_KaplanMeier.pdf
Basal	ENST00000666147:1	DFI	0.7686	salmon/DFI/Basal/0_5/DFI_ENST00000666147:1_SalmonTPM_KaplanMeier.pdf
Her2	ENST00000520913:2	DSS	0.7713	salmon/DSS/Her2/0_5/DSS_ENST00000520913:2_SalmonTPM_KaplanMeier.pdf
LumB	ENST00000668098:1	OS	0.7769	salmon/OS/LumB/0_5/OS_ENST00000668098:1_SalmonTPM_KaplanMeier.pdf
LumA	ENST00000666147:1	OS	0.778	salmon/OS/LumA/0_5/OS_ENST00000666147:1_SalmonTPM_KaplanMeier.pdf
Basal	ENST00000658840:1	PFI	0.7783	salmon/PFI/Basal/0_5/PFI_ENST00000658840:1_SalmonTPM_KaplanMeier.pdf
LumA	ENST00000671092:1	OS	0.7843	salmon/OS/LumA/0_5/OS_ENST00000671092:1_SalmonTPM_KaplanMeier.pdf
Basal	ENST00000657289:1	DSS	0.7859	salmon/DSS/Basal/0_5/DSS_ENST00000657289:1_SalmonTPM_KaplanMeier.pdf
Her2	ENST00000662766:1	DFI	0.786	salmon/DFI/Her2/0_5/DFI_ENST00000662766:1_SalmonTPM_KaplanMeier.pdf
LumB	ENST00000517838:6	OS	0.7875	salmon/OS/LumB/0_5/OS_ENST00000517838:6_SalmonTPM_KaplanMeier.pdf
Her2	ENST00000664214:1	PFI	0.7925	salmon/PFI/Her2/0_5/PFI_ENST00000664214:1_SalmonTPM_KaplanMeier.pdf
Her2	ENST00000667714:1	DSS	0.7929	salmon/DSS/Her2/0_5/DSS_ENST00000667714:1_SalmonTPM_KaplanMeier.pdf
LumA	ENST00000692980:1	DSS	0.7968	salmon/DSS/LumA/0_5/DSS_ENST00000692980:1_SalmonTPM_KaplanMeier.pdf
Her2	ENST00000668098:1	DFI	0.7975	salmon/DFI/Her2/0_5/DFI_ENST00000668098:1_SalmonTPM_KaplanMeier.pdf
Her2	ENST00000517838:6	DSS	0.7986	salmon/DSS/Her2/0_5/DSS_ENST00000517838:6_SalmonTPM_KaplanMeier.pdf
LumA	ENST00000670009:1	DSS	0.8003	salmon/DSS/LumA/0_5/DSS_ENST00000670009:1_SalmonTPM_KaplanMeier.pdf
Basal	ENST00000671092:1	OS	0.811	salmon/OS/Basal/0_5/OS_ENST00000671092:1_SalmonTPM_KaplanMeier.pdf
LumB	ENST00000667305:1	PFI	0.8117	salmon/PFI/LumB/0_5/PFI_ENST00000667305:1_SalmonTPM_KaplanMeier.pdf
Basal	ENST00000665737:1	DFI	0.8123	salmon/DFI/Basal/0_5/DFI_ENST00000665737:1_SalmonTPM_KaplanMeier.pdf
LumB	ENST00000665737:1	DFI	0.814	salmon/DFI/LumB/0_5/DFI_ENST00000665737:1_SalmonTPM_KaplanMeier.pdf
LumA	ENST00000667630:1	PFI	0.8164	salmon/PFI/LumA/0_5/PFI_ENST00000667630:1_SalmonTPM_KaplanMeier.pdf
Her2	ENST00000664214:1	DFI	0.8203	salmon/DFI/Her2/0_5/DFI_ENST00000664214:1_SalmonTPM_KaplanMeier.pdf
Basal	ENST00000665737:1	PFI	0.8212	salmon/PFI/Basal/0_5/PFI_ENST00000665737:1_SalmonTPM_KaplanMeier.pdf
Her2	ENST00000667714:1	OS	0.8226	salmon/OS/Her2/0_5/OS_ENST00000667714:1_SalmonTPM_KaplanMeier.pdf
LumA	ENST00000670009:1	PFI	0.8265	salmon/PFI/LumA/0_5/PFI_ENST00000670009:1_SalmonTPM_KaplanMeier.pdf
Basal	ENST00000517838:6	PFI	0.831	salmon/PFI/Basal/0_5/PFI_ENST00000517838:6_SalmonTPM_KaplanMeier.pdf
Basal	ENST00000667714:1	DSS	0.8349	salmon/DSS/Basal/0_5/DSS_ENST00000667714:1_SalmonTPM_KaplanMeier.pdf
LumA	ENST00000665737:1	OS	0.8384	salmon/OS/LumA/0_5/OS_ENST00000665737:1_SalmonTPM_KaplanMeier.pdf
LumB	ENST00000668098:1	DSS	0.847	salmon/DSS/LumB/0_5/DSS_ENST00000668098:1_SalmonTPM_KaplanMeier.pdf
Basal	ENST00000668098:1	DSS	0.848	salmon/DSS/Basal/0_5/DSS_ENST00000668098:1_SalmonTPM_KaplanMeier.pdf
LumB	ENST00000665737:1	OS	0.8524	salmon/OS/LumB/0_5/OS_ENST00000665737:1_SalmonTPM_KaplanMeier.pdf
Basal	ENST00000664214:1	OS	0.8574	salmon/OS/Basal/0_5/OS_ENST00000664214:1_SalmonTPM_KaplanMeier.pdf
Basal	ENST00000664214:1	PFI	0.859	salmon/PFI/Basal/0_5/PFI_ENST00000664214:1_SalmonTPM_KaplanMeier.pdf
Her2	ENST00000662766:1	PFI	0.8627	salmon/PFI/Her2/0_5/PFI_ENST00000662766:1_SalmonTPM_KaplanMeier.pdf
LumA	ENST00000667630:1	DSS	0.8635	salmon/DSS/LumA/0_5/DSS_ENST00000667630:1_SalmonTPM_KaplanMeier.pdf
Basal	ENST00000692980:1	OS	0.868	salmon/OS/Basal/0_5/OS_ENST00000692980:1_SalmonTPM_KaplanMeier.pdf
Her2	ENST00000670009:1	DFI	0.8705	salmon/DFI/Her2/0_5/DFI_ENST00000670009:1_SalmonTPM_KaplanMeier.pdf
Basal	ENST00000667305:1	DSS	0.8769	salmon/DSS/Basal/0_5/DSS_ENST00000667305:1_SalmonTPM_KaplanMeier.pdf
LumA	ENST00000667714:1	PFI	0.8772	salmon/PFI/LumA/0_5/PFI_ENST00000667714:1_SalmonTPM_KaplanMeier.pdf
LumA	ENST00000658840:1	OS	0.8807	salmon/OS/LumA/0_5/OS_ENST00000658840:1_SalmonTPM_KaplanMeier.pdf
LumA	ENST00000667630:1	DFI	0.8884	salmon/DFI/LumA/0_5/DFI_ENST00000667630:1_SalmonTPM_KaplanMeier.pdf
LumB	ENST00000656999:1	DSS	0.8932	salmon/DSS/LumB/0_5/DSS_ENST00000656999:1_SalmonTPM_KaplanMeier.pdf
LumB	ENST00000668098:1	DFI	0.8936	salmon/DFI/LumB/0_5/DFI_ENST00000668098:1_SalmonTPM_KaplanMeier.pdf
Basal	ENST00000517838:6	DFI	0.8953	salmon/DFI/Basal/0_5/DFI_ENST00000517838:6_SalmonTPM_KaplanMeier.pdf
Basal	ENST00000667630:1	DSS	0.8955	salmon/DSS/Basal/0_5/DSS_ENST00000667630:1_SalmonTPM_KaplanMeier.pdf
LumA	ENST00000665737:1	PFI	0.91	salmon/PFI/LumA/0_5/PFI_ENST00000665737:1_SalmonTPM_KaplanMeier.pdf
LumA	ENST00000656999:1	DFI	0.9106	salmon/DFI/LumA/0_5/DFI_ENST00000656999:1_SalmonTPM_KaplanMeier.pdf
Her2	ENST00000667305:1	PFI	0.9127	salmon/PFI/Her2/0_5/PFI_ENST00000667305:1_SalmonTPM_KaplanMeier.pdf
LumB	ENST00000662766:1	OS	0.9135	salmon/OS/LumB/0_5/OS_ENST00000662766:1_SalmonTPM_KaplanMeier.pdf
Basal	ENST00000666147:1	OS	0.9137	salmon/OS/Basal/0_5/OS_ENST00000666147:1_SalmonTPM_KaplanMeier.pdf
LumB	ENST00000658840:1	DFI	0.917	salmon/DFI/LumB/0_5/DFI_ENST00000658840:1_SalmonTPM_KaplanMeier.pdf
LumB	ENST00000657289:1	OS	0.9173	salmon/OS/LumB/0_5/OS_ENST00000657289:1_SalmonTPM_KaplanMeier.pdf
LumB	ENST00000670009:1	OS	0.9181	salmon/OS/LumB/0_5/OS_ENST00000670009:1_SalmonTPM_KaplanMeier.pdf
LumB	ENST00000664214:1	DFI	0.9213	salmon/DFI/LumB/0_5/DFI_ENST00000664214:1_SalmonTPM_KaplanMeier.pdf
Her2	ENST00000517838:6	OS	0.9235	salmon/OS/Her2/0_5/OS_ENST00000517838:6_SalmonTPM_KaplanMeier.pdf
Basal	ENST00000692980:1	PFI	0.9268	salmon/PFI/Basal/0_5/PFI_ENST00000692980:1_SalmonTPM_KaplanMeier.pdf
Her2	ENST00000664214:1	DSS	0.9298	salmon/DSS/Her2/0_5/DSS_ENST00000664214:1_SalmonTPM_KaplanMeier.pdf
LumA	ENST00000692980:1	PFI	0.942	salmon/PFI/LumA/0_5/PFI_ENST00000692980:1_SalmonTPM_KaplanMeier.pdf
Basal	ENST00000520913:2	PFI	0.9422	salmon/PFI/Basal/0_5/PFI_ENST00000520913:2_SalmonTPM_KaplanMeier.pdf
Basal	ENST00000662766:1	PFI	0.9441	salmon/PFI/Basal/0_5/PFI_ENST00000662766:1_SalmonTPM_KaplanMeier.pdf
LumB	ENST00000658840:1	PFI	0.9449	salmon/PFI/LumB/0_5/PFI_ENST00000658840:1_SalmonTPM_KaplanMeier.pdf
Basal	ENST00000668098:1	PFI	0.9456	salmon/PFI/Basal/0_5/PFI_ENST00000668098:1_SalmonTPM_KaplanMeier.pdf
Basal	ENST00000667714:1	OS	0.9469	salmon/OS/Basal/0_5/OS_ENST00000667714:1_SalmonTPM_KaplanMeier.pdf
LumB	ENST00000667714:1	DSS	0.9535	salmon/DSS/LumB/0_5/DSS_ENST00000667714:1_SalmonTPM_KaplanMeier.pdf
LumA	ENST00000657289:1	DFI	0.9616	salmon/DFI/LumA/0_5/DFI_ENST00000657289:1_SalmonTPM_KaplanMeier.pdf
Her2	ENST00000668098:1	PFI	0.9662	salmon/PFI/Her2/0_5/PFI_ENST00000668098:1_SalmonTPM_KaplanMeier.pdf
Basal	ENST00000664214:1	DSS	0.9682	salmon/DSS/Basal/0_5/DSS_ENST00000664214:1_SalmonTPM_KaplanMeier.pdf
LumA	ENST00000690350:1	DSS	0.974	salmon/DSS/LumA/0_5/DSS_ENST00000690350:1_SalmonTPM_KaplanMeier.pdf
Basal	ENST00000666147:1	PFI	0.9748	salmon/PFI/Basal/0_5/PFI_ENST00000666147:1_SalmonTPM_KaplanMeier.pdf
LumB	ENST00000668098:1	PFI	0.9823	salmon/PFI/LumB/0_5/PFI_ENST00000668098:1_SalmonTPM_KaplanMeier.pdf
Her2	ENST00000668098:1	OS	0.9861	salmon/OS/Her2/0_5/OS_ENST00000668098:1_SalmonTPM_KaplanMeier.pdf
Her2	ENST00000658840:1	DFI	0.9939	salmon/DFI/Her2/0_5/DFI_ENST00000658840:1_SalmonTPM_KaplanMeier.pdf
LumB	ENST00000520913:2	DSS	0.9972	salmon/DSS/LumB/0_5/DSS_ENST00000520913:2_SalmonTPM_KaplanMeier.pdf
